41,25,27,26,5,48,11,21,32,20,24,7,42,37,3,9,23,10,8,40,38,33,19,6,47,34,31,17,4,13,43,30,16,2,18,46,12,44,36,22,35,39,45,15,29,14,28,1
32,12,2,35,3,43,31,23,28,21,46,20,29,7,33,42,19,5,6,41,48,16,26,25,34,22,38,47,17,44,39,30,1,36,18,37,11,45,24,10,13,27,14,8,40,4,15,9
38,29,19,41,4,34,31,15,10,21,33,17,12,32,24,8,43,7,6,1,16,37,40,48,2,28,5,23,3,44,13,30,35,47,45,39,18,46,42,27,20,36,25,14,22,26,9,11
34,41,37,48,20,7,14,39,43,25,5,10,11,44,17,19,2,30,21,29,31,3,40,9,12,23,28,15,38,26,18,22,24,16,45,32,46,4,1,35,36,13,8,42,27,6,33,47
24,37,6,36,2,16,34,30,19,22,25,20,28,41,40,17,1,15,9,7,47,10,44,8,48,45,33,11,38,4,26,18,14,31,39,32,12,23,46,21,27,29,43,42,5,3,35,13
22,20,6,8,39,43,38,19,1,40,24,14,13,15,2,9,48,23,21,18,29,27,45,17,33,28,32,3,4,35,47,11,37,5,41,44,12,30,7,34,36,42,26,31,25,46,16,10
36,37,19,44,3,32,34,31,43,14,7,33,46,4,9,15,39,28,21,27,24,17,8,20,25,10,38,16,18,41,22,42,47,45,11,2,29,35,12,30,13,40,6,1,48,26,23,5
46,24,12,21,22,36,1,15,9,42,37,33,30,23,8,45,7,35,5,18,39,34,25,17,43,38,29,16,20,32,40,47,41,11,6,27,2,10,48,44,26,13,14,31,19,28,4,3
16,17,13,11,31,44,40,1,26,36,43,21,10,18,29,24,42,22,38,15,30,14,47,46,25,45,9,12,4,5,48,39,35,8,23,19,20,27,2,41,7,28,32,34,33,37,3,6
43,31,37,47,13,33,29,14,9,8,5,21,42,27,34,6,22,24,19,4,35,36,12,26,44,40,23,7,15,48,10,32,45,11,38,41,18,16,30,20,28,46,39,25,3,17,1,2
