(0.000000, 0.329992)
(0.063467, 1.029125)
(0.126933, 0.366759)
(0.190400, 0.479845)
(0.253866, 1.581513)
(0.317333, 0.889128)
(0.380799, -0.254055)
(0.444266, 0.313038)
(0.507732, 1.027301)
(0.571199, 1.013561)
(0.634665, 1.412123)
(0.698132, 1.046007)
(0.761598, 0.489870)
(0.825065, 1.242951)
(0.888531, 1.091904)
(0.951998, -0.423949)
(1.015464, 0.460559)
(1.078931, 0.897841)
(1.142397, 0.778659)
(1.205864, 0.551027)
(1.269330, 0.652631)
(1.332797, 0.021557)
(1.396263, 0.742007)
(1.459730, -0.120603)
(1.523196, 0.836623)
(1.586663, 0.221387)
(1.650129, 0.619320)
(1.713596, 0.208973)
(1.777063, 0.416569)
(1.840529, 0.444013)
(1.903996, 0.686526)
(1.967462, 0.505123)
(2.030929, 0.091868)
(2.094395, 0.264178)
(2.157862, 1.270502)
(2.221328, 0.697533)
(2.284795, 0.717898)
(2.348261, 0.813376)
(2.411728, 0.640456)
(2.475194, 0.770385)
(2.538661, 1.215705)
(2.602127, 0.470499)
(2.665594, 0.381190)
(2.729060, 0.575817)
(2.792527, 0.859922)
(2.855993, 0.704884)
(2.919460, 0.551426)
(2.982926, 0.267047)
(3.046393, 0.716479)
(3.109859, 0.789151)
(3.173326, 0.221621)
(3.236792, 0.041879)
(3.300259, 0.102746)
(3.363725, 0.223983)
(3.427192, -0.123582)
(3.490659, 0.437416)
(3.554125, 0.496394)
(3.617592, -0.003436)
(3.681058, 0.031946)
(3.744525, -0.926164)
(3.807991, -0.123615)
(3.871458, -0.066567)
(3.934924, -0.211591)
(3.998391, -0.919825)
(4.061857, -0.813162)
(4.125324, -0.900403)
(4.188790, -0.325978)
(4.252257, -1.209108)
(4.315723, -1.366478)
(4.379190, -0.960819)
(4.442656, -1.840630)
(4.506123, -2.015756)
(4.569589, -1.466415)
(4.633056, -1.527562)
(4.696522, -1.271767)
(4.759989, -1.687381)
(4.823455, -0.888439)
(4.886922, -1.142921)
(4.950388, -1.247031)
(5.013855, -0.109068)
(5.077321, -2.106672)
(5.140788, -0.743818)
(5.204254, -1.902688)
(5.267721, -0.748220)
(5.331188, -0.538432)
(5.394654, -0.953081)
(5.458121, -0.258512)
(5.521587, -1.018469)
(5.585054, -0.046350)
(5.648520, -0.488599)
(5.711987, -0.542537)
(5.775453, 0.175295)
(5.838920, 0.097109)
(5.902386, -0.346773)
(5.965853, 0.321331)
(6.029319, 0.024989)
(6.092786, 0.238575)
(6.156252, -0.403574)
(6.219719, -0.289290)
(6.283185, 0.932317)
(0.000000, 0.224150)
(0.063467, 0.025778)
(0.126933, 0.832372)
(0.190400, 0.343642)
(0.253866, 0.714257)
(0.317333, 0.916272)
(0.380799, 0.879023)
(0.444266, 0.981596)
(0.507732, 1.020877)
(0.571199, 1.207574)
(0.634665, 0.530841)
(0.698132, 0.776574)
(0.761598, 0.449641)
(0.825065, 1.420533)
(0.888531, 0.104847)
(0.951998, -0.472942)
(1.015464, 0.291011)
(1.078931, 0.382435)
(1.142397, 1.013181)
(1.205864, 0.114149)
(1.269330, 0.670287)
(1.332797, -0.265034)
(1.396263, 0.731313)
(1.459730, -0.659466)
(1.523196, 0.935754)
(1.586663, -0.068256)
(1.650129, 0.336042)
(1.713596, 1.080869)
(1.777063, 0.119096)
(1.840529, 0.962545)
(1.903996, 0.645153)
(1.967462, 0.850238)
(2.030929, 0.861510)
(2.094395, -0.242094)
(2.157862, 0.393830)
(2.221328, 1.101481)
(2.284795, 0.799406)
(2.348261, -0.004416)
(2.411728, 0.410395)
(2.475194, 0.989304)
(2.538661, 0.799991)
(2.602127, 1.212067)
(2.665594, 0.844523)
(2.729060, 0.752903)
(2.792527, 0.854783)
(2.855993, -0.092195)
(2.919460, 0.818138)
(2.982926, 0.697946)
(3.046393, 0.182632)
(3.109859, 0.675813)
(3.173326, 0.356873)
(3.236792, 0.530932)
(3.300259, 0.218336)
(3.363725, 0.057823)
(3.427192, -0.270987)
(3.490659, -0.300241)
(3.554125, -0.520912)
(3.617592, -0.960663)
(3.681058, -0.214661)
(3.744525, -0.334076)
(3.807991, -0.262323)
(3.871458, -1.648162)
(3.934924, -0.927009)
(3.998391, 0.320809)
(4.061857, -1.085683)
(4.125324, -0.649967)
(4.188790, -0.736105)
(4.252257, -1.386143)
(4.315723, -1.563860)
(4.379190, -1.130843)
(4.442656, -0.682732)
(4.506123, -1.840950)
(4.569589, -1.364537)
(4.633056, -1.395207)
(4.696522, -1.767879)
(4.759989, -1.199348)
(4.823455, -1.842890)
(4.886922, -1.184446)
(4.950388, -1.988610)
(5.013855, -1.056219)
(5.077321, -0.630201)
(5.140788, -0.968087)
(5.204254, -1.540449)
(5.267721, -1.081564)
(5.331188, -1.010418)
(5.394654, -0.572246)
(5.458121, -0.864827)
(5.521587, -0.549886)
(5.585054, -0.110045)
(5.648520, 0.575683)
